Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28273709F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580916.68N
0023446.54W",640 FT,640 FT,Yes,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273710F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581029.67N
0023445.65W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273711F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580806.96N
0024105.75W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273712F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580843.46N
0024105.45W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273713F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580919.94N
0024105.10W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273714F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581411.36N
0023607.98W",640 FT,640 FT,Yes,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273715F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580805.39N
0023756.60W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273716F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580841.89N
0023756.23W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273717F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580918.34N
0023755.82W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273718F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580954.85N
0023755.45W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273719F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581107.82N
0023754.71W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
